893.9018267433617	She spent her earliest years reading classic literature, and writing poetry.	+353	C:\Users\Unaltering\Dev\PL-SQL\bagaceratops
980.7358621001085	The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.	+377	C:\Users\Polybrid\Dev\Elixir\saltopus
537.0621106587998	Erlang is a general-purpose, concurrent, functional programming language.	+5997	C:\Users\Misreckoned\Development\Erlang\anchiceratops
-254.79613166214676	Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.	+596	C:\Users\Misresult\Development\PL-SQL\glib
975.6129399864715	Erlang is a general-purpose, concurrent, functional programming language.	+265	C:\Users\Distances\Development\Tex\maxakalisaurus
399.00632626155743	The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.	+64	C:\Users\Wren\Development\Io\saltasaurus
-445.8864835108003	Haskell features a type system with type inference and lazy evaluation.	+248	C:\Users\Aloof\Dev\C#\nemegtosaurus
494.3150472234963	Haskell features a type system with type inference and lazy evaluation.	+58	C:\Users\Unperfidiousness\Development\C Shell\camptosaurus
790.3969059019844	Ports are used to communicate with the external world.	+964	C:\Users\Pondering\Dev\Objective-C\panacea
-818.7599999542325	Messages can be sent to and received from ports, but these messages must obey the so-called "port protocol."	+500	C:\Users\Restlessness\Dev\PowerShell\saichania
923.634405912044	Ports are created with the built-in function open_port.	+593	C:\Users\Semiticism\Dev\Z shell\corythosaurus
-727.069297318149	He looked inquisitively at his keyboard and wrote another sentence.	+672	C:\Users\Allay\Development\PL-SQL\euskelosaurus
-242.60535781528688	It is also a garbage-collected runtime system.	+99544	C:\Users\Poundage\Development\C#\mapusaurus
-460.5567363570966	Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.	+356	C:\Users\Compulsed\Development\Tex\revel
958.1646674179433	They are written as strings of consecutive alphanumeric characters, the first character being lowercase.	+254	C:\Users\Deselecting\Dev\Mathematica\homalocephale
-131.151914039306	Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.	+84	C:\Users\Avigdor\Dev\Java\equijubus
567.9465738474926	Erlang is known for its designs that are well suited for systems.	+970	C:\Users\Trickiness\Development\Julia\avaceratops
-26.63891580489235	Messages can be sent to and received from ports, but these messages must obey the so-called "port protocol."	+44	C:\Users\Aryballi\Dev\Racket\khaan
-538.1208979743637	Make me a sandwich.	+856	C:\Users\Daisi\Development\Mathematica\janenschia
460.9127946954095	Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.	+1849	C:\Users\Restipulatory\Dev\haXe\tryst
-418.54436107537276	Tuples are containers for a fixed number of Erlang data types.	+500	C:\Users\Cabala\Dev\Transact-SQL\accolade
-608.5757316855425	Erlang is known for its designs that are well suited for systems.	+99544	C:\Users\Abundant\Development\Perl\propriety
-623.135472101829	The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.	+44	C:\Users\Mycoplana\Dev\C++\huayangosaurus
633.6322778158822	She spent her earliest years reading classic literature, and writing poetry.	+689	C:\Users\Yealing\Dev\Tex\kritosaurus
303.0608239818523	Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.	+963	C:\Users\Cornmuse\Development\Clojure\eolambia
-763.0471740118699	The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.	+689	C:\Users\Pederasts\Development\Groovy\jinzhousaurus
370.659099794118	Any element of a tuple can be accessed in constant time.	+590	C:\Users\Drizzly\Dev\ECMAScript\gilmoreosaurus
-499.8355446212805	The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.	+1345	C:\Users\Bijou\Dev\Elixir\eustreptospondylus
206.0247194715564	Its main implementation is the Glasgow Haskell Compiler.	+1264	C:\Users\Polystylar\Dev\AutoIt\amygdalodon
-944.3377632534983	The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.	+1939	C:\Users\Reformat\Development\OCaml\svengali
-306.73079908158013	Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.	+370	C:\Users\Pleiocene\Development\F#\lufengosaurus
-974.651904988651	They are written as strings of consecutive alphanumeric characters, the first character being lowercase.	+353	C:\Users\Amygdalotome\Dev\haXe\aegyptosaurus
-280.1799632429028	Atoms are used within a program to denote distinguished values.	+61	C:\Users\Corvo\Development\F#\alioramus
785.7375530903555	Tuples are containers for a fixed number of Erlang data types.	+1808	C:\Users\Gingiva\Development\Kotlin\cetiosaurus
-613.2312748170561	The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.	+299	C:\Users\Byran\Dev\Elixir\stoic
-657.8972125175204	Do you come here often?	+4779	C:\Users\Banky\Development\Lua\nqwebasaurus
530.4644172515148	It is also a garbage-collected runtime system.	+27	C:\Users\Haters\Dev\Lisp\archaeopteryx
743.7180136977086	Ports are created with the built-in function open_port.	+692	C:\Users\Parrot\Dev\Lisp\hagryphus
512.9778222265734	Erlang is a general-purpose, concurrent, functional programming language.	+249	C:\Users\Eriksson\Dev\Transact-SQL\conchoraptor
-933.1947069749071	Erlang is a general-purpose, concurrent, functional programming language.	+1671	C:\Users\Contemplative\Development\Io\chinshakiangosaurus
795.0805586900967	Where are my pants?	+689	C:\Users\Trichogrammatidae\Development\Clojure\shantungosaurus
-990.6207624972978	The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.	+357	C:\Users\Buggyman\Development\F#\huayangosaurus
623.9993825496472	The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.	+973	C:\Users\Pairing\Dev\Ruby\finagle
30.361303123532025	Where are my pants?	+228	C:\Users\Neurovaccination\Development\OCaml\scutellosaurus
187.45074923854577	Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.	+8818	C:\Users\Colene\Development\Z shell\tirade
734.7752724926738	In 1989 the building was heavily damaged by fire, but it has since been restored.	+682	C:\Users\Cynicalness\Development\ECMAScript\zephyrosaurus
988.0149696527983	Its main implementation is the Glasgow Haskell Compiler.	+689	C:\Users\Serglobulin\Dev\Tex\maxakalisaurus
607.7534033707207	Where are my pants?	+380	C:\Users\Alvera\Dev\Elixir\aucasaurus
-595.0708114812584	Tuples are containers for a fixed number of Erlang data types.	+963	C:\Users\Finch\Development\PowerShell\achillobator
129.78484611949034	The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.	+690	C:\Users\Carnell\Development\Prolog\panacea
