0	Classie	C:\Users\Nonadjacent\Dev\Fortran\equijubus		2035
1	Ardelia	C:\Users\Ayatollah\Dev\Python\garudimimus		2029
2	Erinn	C:\Users\Caterina\Dev\Mathematica\accolade		1996
3	Jackie	C:\Users\Caulicles\Development\Tcl\nirvana		2003
4	Barrett	C:\Users\Toelike\Development\Elixir\cryolophosaurus		2036
5	Evelin	C:\Users\Peddles\Development\Dart\datousaurus		2015
6	Booker	C:\Users\Haired\Development\Common Lisp\shunosaurus		2000
7	Domingo	C:\Users\Galagos\Dev\Prolog\sinocalliopteryx		2044
8	Kum	C:\Users\Ruewort\Dev\C Shell\ennui		2001
9	Janean	C:\Users\Skellum\Development\C++\brachiosaurus		2001
10	Bunny	C:\Users\Ashamed\Dev\Bash\alvarezsaurus		2046
11	Georgianne	C:\Users\Dogie\Development\Bash\sycophant		1992
12	Humberto	C:\Users\Climbed\Dev\Objective-C\segnosaurus		1991
13	Yolando	C:\Users\Manatee\Dev\D\garudimimus		2007
14	Maragaret	C:\Users\Scoop\Dev\PowerShell\elaphrosaurus		2050
15	Philip	C:\Users\Mastoid\Dev\C++\caudipteryx		2020
16	Sharan	C:\Users\Chaperno\Dev\Delphi\sauropelta		2001
17	Esta	C:\Users\Biplab\Development\Delphi\guanlong		2029
18	Corazon	C:\Users\Rebend\Dev\Common Lisp\avalonia		2026
19	Danilo	C:\Users\Architectural\Dev\PL-I\fukuiraptor		2047
20	Charlesetta	C:\Users\Decaf\Development\Falcon\seismosaurus		2006
21	Lemuel	C:\Users\Colicky\Dev\Emacs Lisp\aardonyx		2010
22	Josef	C:\Users\Browning\Development\Racket\saltasaurus		2006
23	Chu	C:\Users\Cyanic\Dev\Prolog\mercenary		2034
24	Cornelius	C:\Users\Overshined\Development\C Shell\mononykus		2004
25	Kareen	C:\Users\Cobol\Dev\Ceylon\avalonia		2016
26	Herbert	C:\Users\Gizzard\Development\AutoIt\archaeornithomimus		2031
27	Merilyn	C:\Users\Astronautic\Dev\Elixir\borogovia		2026
28	Tyrone	C:\Users\Auroras\Development\Transact-SQL\junket		2006
29	Benny	C:\Users\Alister\Dev\C\saurophaganax		2012
30	Alva	C:\Users\Brancher\Dev\Go\hagryphus		2008
31	Yael	C:\Users\Haired\Dev\Dylan\coelurus		2003
32	Nikia	C:\Users\Haddest\Dev\Lua\gasparinisaura		2023
33	Jaime	C:\Users\Patrial\Dev\Perl\gallimimus		2025
34	Kasey	C:\Users\Crinoline\Dev\JavaScript\confuciusornis		1993
35	Renna	C:\Users\Mischieve\Dev\JavaScript\hesperosaurus		2013
36	Jerrica	C:\Users\Reflating\Dev\Julia\nemegtosaurus		2042
37	Willodean	C:\Users\Rajarshi\Development\PHP\dacentrurus		2026
38	Jonah	C:\Users\Adapa\Dev\Caml\noasaurus		2011
39	Launa	C:\Users\Ambitious\Development\Tcl\ogle		2025
40	Loren	C:\Users\Mopeier\Dev\Elixir\coelurus		1997
41	Florencio	C:\Users\Dickerson\Development\Dart\bagaceratops		2003
42	Felipe	C:\Users\Teenage\Dev\Dart\daspletosaurus		2047
43	Telma	C:\Users\Tapir\Dev\C#\tirade		2029
44	Brain	C:\Users\Barracuda\Dev\Mathematica\conchoraptor		1997
45	Cleo	C:\Users\Equivocal\Dev\Java\rhoetosaurus		2036
46	Corey	C:\Users\Chotts\Development\PHP\chialingosaurus		2001
47	Ulrike	C:\Users\Uvulectomy\Development\Java\carnotaurus		2037
48	Antonietta	C:\Users\Rumpus\Dev\PL-I\nqwebasaurus		1993
49	Janay	C:\Users\Concussion\Dev\Fortran\malinger		2032
50	John	C:\Users\Squamosozygomatic\Development\Scala\brachiosaurus		2016
51	Antwan	C:\Users\Checksumming\Development\Lua\lesothosaurus		2008
52	Augustine	C:\Users\Electrostatic\Development\Emacs Lisp\chirostenotes		1999
53	Lamont	C:\Users\Topkick\Development\Emacs Lisp\kotasaurus		2028
54	Classie	C:\Users\Debatement\Development\ASP\chubutisaurus		1999
55	Vinnie	C:\Users\Malik\Dev\R\megalosaurus		2036
56	Magdalen	C:\Users\Biteme\Development\Caml\jaxartosaurus		2033
57	Marylyn	C:\Users\Ditty\Dev\Mathematica\metriacanthosaurus		1994
58	Bryon	C:\Users\Monadiform\Dev\Groovy\sinvenator		2046
59	Ayako	C:\Users\Underreader\Development\GNU Octave\brogue		2011
60	Kaycee	C:\Users\Hellion\Dev\Clojure\edmontonia		2004
61	Gala	C:\Users\Avernal\Dev\Perl\gastonia		1991
62	Freddy	C:\Users\Ecocide\Development\Z shell\lurid		2041
63	Mayola	C:\Users\Dhooras\Dev\Julia\aragosaurus		2015
64	Piper	C:\Users\Sirvent\Development\Tex\rebbachisaurus		2006
65	Maida	C:\Users\Arracacha\Dev\Scala\austrosaurus		2021
66	Scottie	C:\Users\Amusing\Development\Rust\dilophosaurus		2047
67	Ellena	C:\Users\Cyclothyme\Dev\Delphi\insidious		2044
68	Kim	C:\Users\Toner\Dev\R\coelurus		2011
69	Noble	C:\Users\Baht\Dev\haXe\shuvuuia		2048
70	Marquis	C:\Users\Coseat\Development\Groovy\sarcosaurus		1995
71	Jerome	C:\Users\Bantay\Dev\JavaScript\einiosaurus		1999
72	Elmer	C:\Users\Chordate\Dev\TypeScript\insidious		1994
73	Randell	C:\Users\Brutter\Dev\C Shell\nigersaurus		1997
74	Genna	C:\Users\Pepsinate\Dev\Scala\nanotyrannus		2002
75	Napoleon	C:\Users\Claval\Dev\Tex\suave		2011
76	Kennith	C:\Users\Segued\Development\Elixir\einiosaurus		2050
77	Rafael	C:\Users\Classical\Development\JavaScript\shamosaurus		2027
78	Yang	C:\Users\Digestives\Development\Ceylon\litany		1994
79	Salvatore	C:\Users\Beebe\Dev\Objective-C\haplocanthosaurus		2036
80	Frederic	C:\Users\Harpoonlike\Development\Tex\giganotosaurus		2005
81	Garfield	C:\Users\Aculeate\Dev\Bash\bona_fide		2020
82	Ali	C:\Users\Cheques\Development\CoffeeScript\esoteric		1999
83	Clement	C:\Users\Amalgamation\Development\Io\elan		2012
84	Oscar	C:\Users\Bramble\Dev\Dart\saltopus		2004
85	Asa	C:\Users\Bouzouki\Development\Ceylon\mamenchisaurus		2035
86	Darrell	C:\Users\Shambled\Dev\Lua\gasparinisaura		2018
87	Sal	C:\Users\Arthuriana\Development\Tex\argentinosaurus		1995
88	Ria	C:\Users\Brogues\Development\C++\junket		2035
89	Denny	C:\Users\Kickstands\Development\JavaScript\chasmosaurus		2046
90	Sandee	C:\Users\Patching\Dev\Kotlin\euoplocephalus		2016
91	Rudolph	C:\Users\Uncovenant\Development\PowerShell\abelisaurus		1998
92	Dustin	C:\Users\Tripe\Dev\Prolog\rebbachisaurus		2028
93	Frederica	C:\Users\Affluent\Dev\J#\aegyptosaurus		1994
94	Muoi	C:\Users\Aplomb\Development\Delphi\nipponosaurus		2010
95	Monet	C:\Users\Flowable\Development\Java\dryosaurus		2030
96	Willetta	C:\Users\Jellyfish\Dev\Erlang\bambiraptor		1994
97	Jerald	C:\Users\Banish\Development\Clojure\harpymimus		2005
98	Hal	C:\Users\Dismember\Development\Elixir\nipponosaurus		2024
